"params","Low","Med","Up","lab"
"theta_rand_id.22.2",0.232872066673333,0.716794483963522,1.11103198693318,"0.7 [95% CrI: 0.2 to 1.1]"
"theta_rand_id.23.2",-0.52935598289621,0.0399967209352555,0.41998141145101,"0 [95% CrI: -0.5 to 0.4]"
"theta_rand_id.24.2",0.319920239124688,0.729709974391766,1.13523898575386,"0.7 [95% CrI: 0.3 to 1.1]"
"theta_rand_id.25.2",-1.37956662874293,-0.493451850584314,0.0816774438321828,"-0.5 [95% CrI: -1.4 to 0.1]"
"theta_rand_id.26.2",-0.0997961602233105,0.342318170751339,0.717028803469859,"0.3 [95% CrI: -0.1 to 0.7]"
"theta_rand_id.27.2",-0.894844651467161,-0.235703719525872,0.209902817250392,"-0.2 [95% CrI: -0.9 to 0.2]"
"theta_rand_id.28.2",-2.12105143821332,-1.17203287812005,-0.52769714520922,"-1.2 [95% CrI: -2.1 to -0.5]"
"theta_rand_id.29.2",0.0612642302760502,0.691388497506957,1.24680030089004,"0.7 [95% CrI: 0.1 to 1.2]"
"theta_rand_id.30.2",-0.747400338962332,-0.163136077166206,0.301761596701204,"-0.2 [95% CrI: -0.7 to 0.3]"
"theta_rand_id.31.2",-0.0818717902296246,0.442361317120683,0.950492854214935,"0.4 [95% CrI: -0.1 to 1]"
"theta_rand_id.32.2",-0.37632509089524,0.254399649567665,0.86063653216276,"0.3 [95% CrI: -0.4 to 0.9]"
"theta_rand_id.33.2",-1.5794001257934,-0.799418110931717,-0.182023972873979,"-0.8 [95% CrI: -1.6 to -0.2]"
"theta_rand_id.34.2",0.815064921116398,1.63801279709179,2.60208279213297,"1.6 [95% CrI: 0.8 to 2.6]"
"theta_rand_id.35.2",-0.941471689599089,-0.215790233544554,0.357258884575892,"-0.2 [95% CrI: -0.9 to 0.4]"
"theta_rand_id.36.2",-0.17057681499331,0.256771084582145,0.692951496665487,"0.3 [95% CrI: -0.2 to 0.7]"
"theta_rand_id.37.2",-1.24803919119199,-0.286842737399776,0.288791926830621,"-0.3 [95% CrI: -1.2 to 0.3]"
"theta_rand_id.38.2",-0.438533583369131,0.15805621094556,0.65624749332701,"0.2 [95% CrI: -0.4 to 0.7]"
"theta_rand_id.39.2",-0.194648401908726,0.26582416437411,0.626187286213833,"0.3 [95% CrI: -0.2 to 0.6]"
"theta_rand_id.40.2",-0.136002623435735,0.613869681282652,1.42687278179047,"0.6 [95% CrI: -0.1 to 1.4]"
"theta_rand_id.41.2",-2.4300803178331,-1.36634290119925,-0.665200761645298,"-1.4 [95% CrI: -2.4 to -0.7]"
"theta_rand_id.42.2",-0.57309497983725,0.0480448527526781,0.567741604328411,"0 [95% CrI: -0.6 to 0.6]"
"theta_rand_id.43.2",-1.14418898096489,-0.372244228093613,0.197231272538517,"-0.4 [95% CrI: -1.1 to 0.2]"
"theta_rand_id.44.2",-1.66373185145159,-0.601390175147951,0.0338772275642953,"-0.6 [95% CrI: -1.7 to 0]"
"theta_rand_id.45.2",-0.524502545589061,0.0735647276059191,0.512220493737611,"0.1 [95% CrI: -0.5 to 0.5]"
"theta_rand_id.46.2",-0.700384624329569,-0.154460309730104,0.26402729306685,"-0.2 [95% CrI: -0.7 to 0.3]"
"theta_rand_id.47.2",-0.0179005223189012,0.582674026513416,1.14898402082317,"0.6 [95% CrI: 0 to 1.1]"
"theta_rand_id.48.2",-0.308946586838708,0.264468990285118,0.690561055086015,"0.3 [95% CrI: -0.3 to 0.7]"
