"params","Low","Med","Up","lab"
"sigma_logvl",0.830884140711185,0.988173318009165,1.1325119564259,"1 [95% CrI: 0.8 to 1.1]"
"alpha_0",4.58249916889721,5.04905476752688,5.57297273703995,"5 [95% CrI: 4.6 to 5.6]"
"beta_0.1",0.0776510400998196,0.328279137362072,1.24772959811419,"0.3 [95% CrI: 0.1 to 1.2]"
"beta_0.2",0.919281424209372,1.22462623758905,1.60095156879331,"1.2 [95% CrI: 0.9 to 1.6]"
"sigmasq_u.1",0.775179074984234,1.13196798690127,1.54593075268066,"1.1 [95% CrI: 0.8 to 1.5]"
"sigmasq_u.2",0.476784300130619,0.654444091926266,0.914580384448542,"0.7 [95% CrI: 0.5 to 0.9]"
"sigmasq_u.3",0.876715250669383,1.67974439495736,2.73705229996162,"1.7 [95% CrI: 0.9 to 2.7]"
"theta_rand_id.1.1",-1.46051598986781,-0.607675996167216,0.516999771187024,"-0.6 [95% CrI: -1.5 to 0.5]"
"theta_rand_id.2.1",-0.229716036816013,0.689169490483906,1.73288235531177,"0.7 [95% CrI: -0.2 to 1.7]"
"theta_rand_id.3.1",-0.0872289620734049,0.749267892401665,1.87477735936931,"0.7 [95% CrI: -0.1 to 1.9]"
"theta_rand_id.4.1",-0.633507423429571,0.586561064296138,1.87785624393484,"0.6 [95% CrI: -0.6 to 1.9]"
"theta_rand_id.5.1",-3.23039286493592,-1.55179224104784,0.578348674070313,"-1.6 [95% CrI: -3.2 to 0.6]"
"theta_rand_id.6.1",-0.617473664706674,0.580412844486457,2.07713985191062,"0.6 [95% CrI: -0.6 to 2.1]"
"theta_rand_id.7.1",0.893931726521267,1.87358802434253,2.91690079179042,"1.9 [95% CrI: 0.9 to 2.9]"
"theta_rand_id.8.1",-1.27765406046611,-0.11355113856462,1.81625331783237,"-0.1 [95% CrI: -1.3 to 1.8]"
"theta_rand_id.9.1",-2.53248044049333,-1.39774179945164,0.750407392283637,"-1.4 [95% CrI: -2.5 to 0.8]"
"theta_rand_id.10.1",-0.950503568102098,-0.0986860519203019,0.766894609324511,"-0.1 [95% CrI: -1 to 0.8]"
"theta_rand_id.11.1",-0.599856675023639,0.631586607403371,2.12172796087774,"0.6 [95% CrI: -0.6 to 2.1]"
"theta_rand_id.12.1",-0.160928284511318,0.74805356588679,1.56074341516609,"0.7 [95% CrI: -0.2 to 1.6]"
"theta_rand_id.13.1",-0.824444276350723,0.0127780897667248,1.4102467195525,"0 [95% CrI: -0.8 to 1.4]"
"theta_rand_id.14.1",-1.75146217289798,-0.812507715993812,0.103587818124161,"-0.8 [95% CrI: -1.8 to 0.1]"
"theta_rand_id.15.1",-0.775538133355606,0.455654284636602,1.84907867615983,"0.5 [95% CrI: -0.8 to 1.8]"
"theta_rand_id.16.1",-0.347815776309007,0.677651695092778,2.12388514731284,"0.7 [95% CrI: -0.3 to 2.1]"
"theta_rand_id.17.1",-0.346042868652396,0.644759999415694,2.05079461429669,"0.6 [95% CrI: -0.3 to 2.1]"
