"params","Low","Med","Up","lab"
"sigma_logvl",1.01503543247757,1.14883659243846,1.27668769142584,"1.1 [95% CrI: 1 to 1.3]"
"alpha_0",4.4429810316041,4.84666400108225,5.23483756522325,"4.8 [95% CrI: 4.4 to 5.2]"
"beta_0",-1.02409601796608,-0.839200282498028,-0.695851074719617,"-0.8 [95% CrI: -1 to -0.7]"
"sigmasq_u.1",1.01002625369078,1.27371208016654,1.60429605031655,"1.3 [95% CrI: 1 to 1.6]"
"sigmasq_u.2",0.459823020890425,0.619566341300862,0.825840271748385,"0.6 [95% CrI: 0.5 to 0.8]"
"theta_rand_id.1.1",-1.22275773718236,-0.363207289445759,0.526086444553593,"-0.4 [95% CrI: -1.2 to 0.5]"
"theta_rand_id.2.1",0.247063317766638,1.16105007307629,2.04724452946584,"1.2 [95% CrI: 0.2 to 2]"
"theta_rand_id.3.1",0.072345331109341,1.03378730671216,1.90732027490648,"1 [95% CrI: 0.1 to 1.9]"
"theta_rand_id.4.1",-0.179736067665295,0.750464601951348,1.88977163243766,"0.8 [95% CrI: -0.2 to 1.9]"
"theta_rand_id.5.1",-3.17554275768677,-2.08714814751657,-0.965040461081581,"-2.1 [95% CrI: -3.2 to -1]"
"theta_rand_id.6.1",-0.372829475711539,0.659374435309142,1.60275588993372,"0.7 [95% CrI: -0.4 to 1.6]"
"theta_rand_id.7.1",1.51103698280806,2.47811773403911,3.46055193756712,"2.5 [95% CrI: 1.5 to 3.5]"
"theta_rand_id.8.1",-1.28850967951959,-0.211174795096658,0.871166298509441,"-0.2 [95% CrI: -1.3 to 0.9]"
"theta_rand_id.9.1",-2.36079389458546,-1.36422943767524,-0.310807844632097,"-1.4 [95% CrI: -2.4 to -0.3]"
"theta_rand_id.10.1",-0.631592376249184,0.298805190765604,1.12438955856233,"0.3 [95% CrI: -0.6 to 1.1]"
"theta_rand_id.11.1",-0.654473361228628,0.410045684243286,1.42973053332657,"0.4 [95% CrI: -0.7 to 1.4]"
"theta_rand_id.12.1",0.257305756730188,1.08048579086924,2.00645254465257,"1.1 [95% CrI: 0.3 to 2]"
